RSLT0109 (Chromatogram RI)	
X:	Y:
0.21667	-0.001
0.21833	-0.016
0.22000	-0.015
0.22167	-0.004
0.22333	0.000
0.22500	-0.008
0.22667	-0.008
0.22833	0.001
0.23000	0.002
0.23167	-0.009
0.23333	-0.012
0.23500	-0.003
0.23667	-0.001
0.23833	-0.015
0.24000	-0.017
0.24167	-0.002
0.24333	0.004
0.24500	-0.006
0.24667	-0.004
0.24833	0.010
0.25000	0.012
0.25167	-0.002
0.25333	-0.007
0.25500	0.004
0.25667	0.007
0.25833	-0.003
0.26000	-0.006
0.26167	0.004
0.26333	0.006
0.26500	-0.007
0.26667	-0.013
0.26833	-0.003
0.27000	0.001
0.27167	-0.009
0.27333	-0.013
0.27500	-0.001
0.27667	0.001
0.27833	-0.010
0.28000	-0.014
0.28167	0.001
0.28333	0.005
0.28500	-0.007
0.28667	-0.013
0.28833	-0.002
0.29000	0.002
0.29167	-0.007
0.29333	-0.012
0.29500	0.001
0.29667	0.007
0.29833	0.000
0.30000	-0.006
0.30167	0.008
0.30333	0.013
0.30500	0.003
0.30667	-0.007
0.30833	0.005
0.31000	0.010
0.31167	0.001
0.31333	-0.009
0.31500	0.001
0.31667	0.007
0.31833	-0.004
0.32000	-0.013
0.32167	0.003
0.32333	0.014
0.32500	0.010
0.32667	0.001
0.32833	0.011
0.33000	0.015
0.33167	0.010
0.33333	0.001
0.33500	0.012
0.33667	0.018
0.33833	0.010
0.34000	-0.003
0.34167	0.009
0.34333	0.015
0.34500	0.009
0.34667	-0.005
0.34833	0.006
0.35000	0.015
0.35167	0.010
0.35333	-0.005
0.35500	0.004
0.35667	0.012
0.35833	0.008
0.36000	-0.005
0.36167	0.006
0.36333	0.009
0.36500	-0.001
0.36667	-0.016
0.36833	-0.005
0.37000	0.002
0.37167	0.001
0.37333	-0.009
0.37500	-0.002
0.37667	0.009
0.37833	0.006
0.38000	-0.008
0.38167	0.003
0.38333	0.014
0.38500	0.012
0.38667	-0.004
0.38833	0.004
0.39000	0.013
0.39167	0.011
0.39333	-0.004
0.39500	0.003
0.39667	0.011
0.39833	0.010
0.40000	-0.004
0.40167	0.002
0.40333	0.011
0.40500	0.007
0.40667	-0.007
0.40833	-0.003
0.41000	0.003
0.41167	0.004
0.41333	-0.009
0.41500	-0.004
0.41667	0.006
0.41833	0.004
0.42000	-0.013
0.42167	-0.007
0.42333	0.007
0.42500	0.008
0.42667	-0.006
0.42833	-0.005
0.43000	0.007
0.43167	0.008
0.43333	-0.004
0.43500	-0.001
0.43667	0.010
0.43833	0.009
0.44000	-0.003
0.44167	-0.002
0.44333	0.011
0.44500	0.010
0.44667	-0.001
0.44833	0.001
0.45000	0.015
0.45167	0.014
0.45333	-0.002
0.45500	-0.002
0.45667	0.014
0.45833	0.015
0.46000	-0.001
0.46167	-0.002
0.46333	0.013
0.46500	0.016
0.46667	0.007
0.46833	0.002
0.47000	0.016
0.47167	0.019
0.47333	0.003
0.47500	-0.001
0.47667	0.015
0.47833	0.019
0.48000	0.008
0.48167	0.000
0.48333	0.010
0.48500	0.014
0.48667	0.004
0.48833	-0.005
0.49000	0.007
0.49167	0.011
0.49333	0.003
0.49500	-0.003
0.49667	0.013
0.49833	0.017
0.50000	0.006
0.50167	-0.005
0.50333	0.007
