Filename,Commercial PLA
0.13,25.31,0.000
0.14,25.32,0.000
0.14,25.33,-0.001
0.14,25.34,-0.002
0.14,25.35,-0.002
0.14,25.37,-0.003
0.14,25.38,-0.004
0.14,25.39,-0.005
0.15,25.40,-0.006
0.15,25.41,-0.006
0.15,25.42,-0.007
0.15,25.43,-0.008
0.15,25.45,-0.009
0.16,25.46,-0.010
0.16,25.47,-0.011
0.16,25.48,-0.012
0.16,25.49,-0.013
0.16,25.50,-0.014
0.16,25.52,-0.015
0.16,25.53,-0.016
0.17,25.54,-0.017
0.17,25.55,-0.018
0.17,25.57,-0.019
0.17,25.58,-0.020
0.17,25.59,-0.021
0.18,25.60,-0.022
0.18,25.62,-0.023
0.18,25.63,-0.024
0.18,25.64,-0.025
0.18,25.65,-0.026
0.18,25.67,-0.027
0.19,25.68,-0.028
0.19,25.69,-0.029
0.19,25.70,-0.030
0.19,25.72,-0.031
0.19,25.73,-0.032
0.19,25.74,-0.033
0.19,25.76,-0.034
0.20,25.77,-0.035
0.20,25.78,-0.036
0.20,25.79,-0.037
0.20,25.81,-0.038
0.20,25.82,-0.039
0.21,25.83,-0.040
0.21,25.85,-0.041
0.21,25.86,-0.042
0.21,25.87,-0.043
0.21,25.89,-0.044
0.21,25.90,-0.045
0.21,25.91,-0.046
0.22,25.93,-0.047
0.22,25.94,-0.048
0.22,25.95,-0.049
0.22,25.97,-0.050
0.22,25.98,-0.051
0.23,25.99,-0.052
0.23,26.01,-0.053
0.23,26.02,-0.054
0.23,26.03,-0.055
0.23,26.05,-0.056
0.23,26.06,-0.057
0.24,26.07,-0.058
0.24,26.09,-0.059
0.24,26.10,-0.060
0.24,26.12,-0.061
0.24,26.13,-0.062
0.24,26.14,-0.063
0.24,26.16,-0.063
0.25,26.17,-0.064
0.25,26.19,-0.065
0.25,26.20,-0.066
0.25,26.21,-0.067
0.25,26.23,-0.068
0.26,26.24,-0.069
0.26,26.25,-0.070
0.26,26.27,-0.071
0.26,26.28,-0.072
0.26,26.30,-0.073
0.26,26.31,-0.074
0.26,26.33,-0.074
0.27,26.34,-0.075
0.27,26.35,-0.076
0.27,26.37,-0.077
0.27,26.38,-0.078
0.27,26.40,-0.079
0.28,26.41,-0.080
0.28,26.43,-0.080
0.28,26.44,-0.081
0.28,26.45,-0.082
0.28,26.47,-0.083
0.28,26.48,-0.084
0.29,26.50,-0.085
0.29,26.51,-0.086
0.29,26.53,-0.086
0.29,26.54,-0.087
0.29,26.56,-0.088
0.29,26.57,-0.089
0.30,26.59,-0.089
0.30,26.60,-0.090
0.30,26.61,-0.091
0.30,26.63,-0.091
0.30,26.64,-0.092
0.30,26.66,-0.093
0.30,26.67,-0.094
0.31,26.69,-0.094
0.31,26.70,-0.095
0.31,26.72,-0.096
0.31,26.73,-0.097
0.31,26.75,-0.097
0.31,26.76,-0.098
0.32,26.78,-0.099
0.32,26.79,-0.099
0.32,26.81,-0.100
0.32,26.82,-0.101
0.32,26.84,-0.101
0.33,26.85,-0.102
0.33,26.87,-0.103
0.33,26.88,-0.103
0.33,26.90,-0.104
0.33,26.91,-0.105
0.33,26.93,-0.105
0.34,26.94,-0.106
0.34,26.96,-0.106
0.34,26.97,-0.107
0.34,26.99,-0.108
0.34,27.00,-0.108
0.34,27.02,-0.109
0.35,27.03,-0.110
0.35,27.05,-0.110
0.35,27.06,-0.111
0.35,27.08,-0.111
0.35,27.10,-0.112
0.35,27.11,-0.112
0.35,27.13,-0.113
0.36,27.14,-0.114
0.36,27.16,-0.114
0.36,27.17,-0.115
0.36,27.19,-0.115
0.36,27.20,-0.116
0.36,27.22,-0.116
0.37,27.23,-0.117
0.37,27.25,-0.117
0.37,27.26,-0.118
0.37,27.28,-0.118
0.37,27.30,-0.119
0.38,27.31,-0.119
0.38,27.33,-0.120
0.38,27.34,-0.120
0.38,27.36,-0.121
0.38,27.37,-0.121
0.38,27.39,-0.122
0.39,27.40,-0.122
0.39,27.42,-0.123
0.39,27.43,-0.123
0.39,27.45,-0.124
0.39,27.47,-0.124
0.39,27.48,-0.125
0.40,27.50,-0.125
0.40,27.51,-0.126
0.40,27.53,-0.126
0.40,27.54,-0.126
0.40,27.56,-0.127
0.40,27.58,-0.127
0.40,27.59,-0.128
0.41,27.61,-0.128
0.41,27.62,-0.129
0.41,27.64,-0.129
0.41,27.65,-0.130
0.41,27.67,-0.130
0.41,27.68,-0.130
0.42,27.70,-0.131
0.42,27.72,-0.131
0.42,27.73,-0.131
0.42,27.75,-0.132
0.42,27.76,-0.132
0.43,27.78,-0.133
0.43,27.79,-0.133
0.43,27.81,-0.133
0.43,27.83,-0.134
0.43,27.84,-0.134
0.43,27.86,-0.134
0.44,27.87,-0.135
0.44,27.89,-0.135
0.44,27.90,-0.135
0.44,27.92,-0.136
0.44,27.94,-0.136
0.44,27.95,-0.137
0.45,27.97,-0.137
0.45,27.98,-0.137
0.45,28.00,-0.138
0.45,28.02,-0.138
0.45,28.03,-0.138
0.45,28.05,-0.139
0.45,28.06,-0.139
0.46,28.08,-0.139
0.46,28.09,-0.139
0.46,28.11,-0.140
0.46,28.13,-0.140
0.46,28.14,-0.140
0.46,28.16,-0.140
0.47,28.17,-0.141
0.47,28.19,-0.141
0.47,28.21,-0.141
0.47,28.22,-0.142
0.47,28.24,-0.142
0.48,28.25,-0.142
0.48,28.27,-0.143
0.48,28.29,-0.143
0.48,28.30,-0.143
0.48,28.32,-0.143
0.48,28.33,-0.144
0.49,28.35,-0.144
0.49,28.37,-0.144
0.49,28.38,-0.144
0.49,28.40,-0.145
0.49,28.41,-0.145
0.49,28.43,-0.145
0.50,28.45,-0.145
0.50,28.46,-0.146
0.50,28.48,-0.146
0.50,28.49,-0.146
0.50,28.51,-0.146
0.50,28.53,-0.146
0.50,28.54,-0.146
0.51,28.56,-0.147
0.51,28.57,-0.147
0.51,28.59,-0.147
0.51,28.61,-0.147
0.51,28.62,-0.148
0.51,28.64,-0.148
0.52,28.65,-0.148
0.52,28.67,-0.148
0.52,28.69,-0.148
0.52,28.70,-0.149
0.52,28.72,-0.149
0.53,28.74,-0.149
0.53,28.75,-0.149
0.53,28.77,-0.149
0.53,28.78,-0.150
0.53,28.80,-0.150
0.53,28.82,-0.150
0.53,28.83,-0.150
0.54,28.85,-0.150
0.54,28.86,-0.151
0.54,28.88,-0.151
0.54,28.90,-0.151
0.54,28.91,-0.151
0.55,28.93,-0.151
0.55,28.94,-0.151
0.55,28.96,-0.151
0.55,28.98,-0.152
0.55,28.99,-0.152
0.55,29.01,-0.152
0.55,29.02,-0.152
0.56,29.04,-0.152
0.56,29.06,-0.152
0.56,29.07,-0.152
0.56,29.09,-0.153
0.56,29.11,-0.153
0.57,29.12,-0.153
0.57,29.14,-0.153
0.57,29.15,-0.153
0.57,29.17,-0.153
0.57,29.19,-0.154
0.57,29.20,-0.154
0.58,29.22,-0.154
0.58,29.24,-0.154
0.58,29.25,-0.154
0.58,29.27,-0.154
0.58,29.28,-0.154
0.58,29.30,-0.154
0.58,29.32,-0.155
0.59,29.33,-0.155
0.59,29.35,-0.155
0.59,29.37,-0.155
0.59,29.38,-0.155
0.59,29.40,-0.155
0.60,29.41,-0.155
0.60,29.43,-0.155
0.60,29.45,-0.155
0.60,29.46,-0.156
0.60,29.48,-0.156
0.60,29.50,-0.156
0.60,29.51,-0.156
0.61,29.53,-0.156
0.61,29.54,-0.156
0.61,29.56,-0.156
0.61,29.58,-0.156
0.61,29.59,-0.156
0.62,29.61,-0.157
0.62,29.62,-0.157
0.62,29.64,-0.157
0.62,29.66,-0.157
0.62,29.67,-0.157
0.62,29.69,-0.157
0.63,29.71,-0.157
0.63,29.72,-0.157
0.63,29.74,-0.157
0.63,29.75,-0.157
0.63,29.77,-0.157
0.63,29.79,-0.157
0.63,29.80,-0.157
0.64,29.82,-0.158
0.64,29.84,-0.158
0.64,29.85,-0.158
0.64,29.87,-0.158
0.64,29.89,-0.158
0.65,29.90,-0.158
0.65,29.92,-0.158
0.65,29.93,-0.158
0.65,29.95,-0.158
0.65,29.97,-0.158
0.65,29.98,-0.158
0.65,30.00,-0.159
0.66,30.02,-0.159
0.66,30.03,-0.159
0.66,30.05,-0.159
0.66,30.07,-0.159
0.66,30.08,-0.159
0.67,30.10,-0.159
0.67,30.11,-0.159
0.67,30.13,-0.159
0.67,30.15,-0.159
0.67,30.16,-0.159
0.67,30.18,-0.159
0.68,30.20,-0.159
0.68,30.21,-0.159
0.68,30.23,-0.159
0.68,30.24,-0.160
0.68,30.26,-0.160
0.68,30.28,-0.160
0.68,30.29,-0.160
0.69,30.31,-0.160
0.69,30.33,-0.160
0.69,30.34,-0.160
0.69,30.36,-0.160
0.69,30.38,-0.160
0.70,30.39,-0.160
0.70,30.41,-0.160
0.70,30.42,-0.160
0.70,30.44,-0.160
0.70,30.46,-0.160
0.70,30.47,-0.160
0.70,30.49,-0.160
0.71,30.51,-0.160
0.71,30.52,-0.160
0.71,30.54,-0.160
0.71,30.56,-0.160
0.71,30.57,-0.161
0.72,30.59,-0.161
0.72,30.61,-0.161
0.72,30.62,-0.161
0.72,30.64,-0.161
0.72,30.65,-0.161
0.72,30.67,-0.161
0.73,30.69,-0.161
0.73,30.70,-0.161
0.73,30.72,-0.161
0.73,30.74,-0.161
0.73,30.75,-0.161
0.73,30.77,-0.161
0.73,30.79,-0.161
0.74,30.80,-0.161
0.74,30.82,-0.161
0.74,30.83,-0.161
0.74,30.85,-0.161
0.74,30.87,-0.161
0.75,30.88,-0.161
0.75,30.90,-0.161
0.75,30.92,-0.161
0.75,30.93,-0.161
0.75,30.95,-0.161
0.75,30.97,-0.161
0.75,30.98,-0.161
0.76,31.00,-0.161
0.76,31.02,-0.161
0.76,31.03,-0.162
0.76,31.05,-0.162
0.76,31.06,-0.162
0.77,31.08,-0.162
0.77,31.10,-0.162
0.77,31.11,-0.162
0.77,31.13,-0.162
0.77,31.15,-0.162
0.77,31.16,-0.162
0.78,31.18,-0.162
0.78,31.20,-0.162
0.78,31.21,-0.162
0.78,31.23,-0.162
0.78,31.24,-0.162
0.78,31.26,-0.162
0.78,31.28,-0.162
0.79,31.29,-0.162
0.79,31.31,-0.162
0.79,31.33,-0.162
0.79,31.34,-0.162
0.79,31.36,-0.162
0.80,31.38,-0.162
0.80,31.39,-0.162
0.80,31.41,-0.162
0.80,31.43,-0.162
0.80,31.44,-0.162
0.80,31.46,-0.162
0.80,31.48,-0.162
0.81,31.49,-0.162
0.81,31.51,-0.162
0.81,31.52,-0.162
0.81,31.54,-0.162
0.81,31.56,-0.162
0.82,31.57,-0.162
0.82,31.59,-0.162
0.82,31.61,-0.162
0.82,31.62,-0.162
0.82,31.64,-0.162
0.82,31.66,-0.162
0.83,31.67,-0.162
0.83,31.69,-0.162
0.83,31.71,-0.162
0.83,31.72,-0.162
0.83,31.74,-0.162
0.83,31.75,-0.162
0.83,31.77,-0.162
0.84,31.79,-0.162
0.84,31.80,-0.162
0.84,31.82,-0.162
0.84,31.84,-0.162
0.84,31.85,-0.162
0.85,31.87,-0.163
0.85,31.89,-0.163
0.85,31.90,-0.163
0.85,31.92,-0.163
0.85,31.94,-0.163
0.85,31.95,-0.163
0.85,31.97,-0.163
0.86,31.98,-0.163
0.86,32.00,-0.163
0.86,32.02,-0.163
0.86,32.03,-0.163
0.86,32.05,-0.163
0.87,32.07,-0.163
0.87,32.08,-0.163
0.87,32.10,-0.163
0.87,32.12,-0.163
0.87,32.13,-0.163
0.87,32.15,-0.163
0.88,32.17,-0.163
0.88,32.18,-0.163
0.88,32.20,-0.163
0.88,32.22,-0.163
0.88,32.23,-0.163
0.88,32.25,-0.163
0.88,32.27,-0.163
0.89,32.28,-0.163
0.89,32.30,-0.163
0.89,32.32,-0.163
0.89,32.33,-0.163
0.89,32.35,-0.163
0.90,32.36,-0.163
0.90,32.38,-0.163
0.90,32.40,-0.163
0.90,32.41,-0.163
0.90,32.43,-0.163
0.90,32.45,-0.163
0.90,32.46,-0.163
0.91,32.48,-0.163
0.91,32.50,-0.163
0.91,32.51,-0.163
0.91,32.53,-0.163
0.91,32.55,-0.163
0.92,32.56,-0.163
0.92,32.58,-0.163
0.92,32.60,-0.163
0.92,32.61,-0.163
0.92,32.63,-0.163
